contract_index,version,tx_hash,parsed_result.custom_token_id,parsed_result.royalty_percent,parsed_result.url
3,s7_erc721_v2,8b90d04f334e479bf4e671392af0c26980706b3346787ecfa0c6e5a843c72294,20983916164808717,0,ipfs://bafkreib6k4mawjfldx77ljymsielhoduhmxiza5gokmcpv55mxydr2bv3y
3,s7_erc721_v2,9761d6f5bca36a29a1daa21783f42ba9387329b0b151861d8f07c4f5b3d649eb,230568127228805132,1500,ipfs://bafkreide5rkfb4bpn66nn7ev4l2i4nwnxp5ncfstisf5okvml7q7ntolii
3,s7_erc721_v2,a186476c40fbca3407d2a30c6a17d1aba398c0d40346a4350d853e5495c90ee9,178742460611035148,1000,ipfs://bafkreifnokaq5wzbjyfusz3lm5ettw77qixvulbyhoz7kfpc2kkz4vaccy
4,s7_erc721_v2,109fdb98049397d090a2bf757a88452acdf9a79fae2bd4f69025917d2c41cbf7,21466573650788365,2000,ipfs://bafkreic4arkr2udwyz6zdlj3uwcn76rl4sb57xdbfso2yuou7nix6xr4si
4,s7_erc721_v2,19af3c23150b84a9fe862427f5b8c72178d7dbb72a15a64e604d04f86236acf3,23989670073335821,4500,ipfs://bafkreidq75xeycuh43pfobnq3xyqffzpqqtwkbo2xtc5ryitigskon7dzq
4,s7_erc721_v2,1b4fecefd11c3d53c1d7fa9648fc6718375afd9b1c6b8b4e7fef90e61c07bf10,332494295581851657,500,ipfs://bafkreic46owduownsfntzlo2c5o26urhzczklp3s57ai4chsfyr2nlbv4e
4,s7_erc721_v2,1fff78aef7d94be40b8276e4e7b030b65f371ba9a1714d25cce99a018bb05b2a,15847863258972172,500,ipfs://bafkreifeafsgf3dhka2r4h2esueofpo7jn3crhdp66v5fvhwppiapnmqcu
4,s7_erc721_v2,2381fd707e1f7ceddfa067992ce89c6749023bb958c9efb142cb253347ed8440,128413332464992269,0,ipfs://bafkreifwdgi7e6wawdy2ihf3vie7v2gmo3xurxdcuimnt4tapuptybyat4
4,s7_erc721_v2,40219099e9b3c824701e7dd91b982eea4c517ae668b971a71b14ddaf0462eb90,132211060810711048,2500,ipfs://bafkreibd4tknygiyutnqip5e2nz3wcvnwszkff5tozgddsaazhwqua5eoi
4,s7_erc721_v2,4068dabf6c30acc1664c77cc932832f49a37139d03c75c7ffc8a82de23d1db43,305206245663440909,2000,ipfs://bafkreidficjgj3h2pfvmcaadzobw7osme2lpprxqnlnplz5oaqs5q7xhqe
4,s7_erc721_v2,42a947637e6f2b7ad89782bdbe8ffa0fbdb0b2789099cd4ddbcf5a4ea12742da,116247303496400909,1000,ipfs://bafkreiby52zuo7xo2pstvljngq5d6zvenlu6am3f6qezo7vuz7jtwz2hni
4,s7_erc721_v2,4f69ae884db0190853a82bd9b720cde92bf60def1c95b3a3233d535f7af2c2b1,205516116489928713,500,ipfs://bafkreid2x3734n26nlrugdargil64cae4xa5xuldhocgiu2ao5vnytrcue
4,s7_erc721_v2,524fd452d0855c6e07c4fa4f2db2570e15628912657ea2677158dfa6b548c855,20666718988795913,500,ipfs://bafkreihvilv5s6ztyv3qcoibdnfqbluegjwgjpxbbs3dsxvo7wxz3liyqq
4,s7_erc721_v2,5ac2396ac57f48c61cfaba88c1aadb0c5cfd9a155fabf97bea123d436efb9ef6,157649611459133453,2100,ipfs://bafkreiaiazufavhv4oad36fz4hr32yl72z2nzq4n2crkrgzvoiilxqspgy
4,s7_erc721_v2,5ae60782293b45ad09e8d96af652bf80a0c31d8726a99962df61c126c0e99ccf,116233688164859917,800,ipfs://bafkreigbcddzh3etm3utu764kqbcg4idefr6thmcbkmfqgq2pnuwtekwia
4,s7_erc721_v2,6094da00f4f048accaf17916c61b32b4ea77b18d94d34a3f8d7a2d6e78e02735,314628962988851212,1000,ipfs://bafkreihrhg3txhk3yogqqjah7fymyziavg7gyhf6xakh7mg65ahzxwdpbe
4,s7_erc721_v2,6696ab58c235459cf69f430b0b38b255d7b53390f6c896e94719b2c144ce2469,93207442640338957,0,ipfs://bafkreibanyyeigygwmbu2j5anigohyjceqkda6pwy2mitk6k5r4crrjfbm
4,s7_erc721_v2,6e27fac876915d6721da289ca2ab5c48d75c6bb678b475ca3f503d8e3b0e8a48,128070473748578317,2300,ipfs://bafkreicavsx6yhcv322nngoqckwbid43kt7oifosky4dm3cinuqi4ypkqe
4,s7_erc721_v2,7789983437e67bbc2d50698a9bc5fcf0bf6acf353b651ac96f4c92f3b4b0a560,116718940817719309,1000,ipfs://bafkreihakeqzndlkobup7qoh7yupjnwudqdw2kx6azq4rlljshbjhiswnu
4,s7_erc721_v2,7b017bef94b5326dffdce80e7920b42fc3b322e65657b2e4659799353959bbe3,21675862508175373,1000,ipfs://bafkreifir2cbgp2v5msg7njbupkwnpwoow3ub3un7odi6r7lqtc64awlzi
4,s7_erc721_v2,7b5c422e798b2b4403b9cef0ebef6d1866ae5757e1b58b437909de30eac39a83,305907944485027853,2200,ipfs://bafkreiaayr4mhrvukhwkw7tludrbqlfhcb2eu7wg7rsys7e3dqmbeisu6q
4,s7_erc721_v2,83f7c253893d73348623548662ae4af2e4a02ba51479d11c897a9218a8931dbe,127468076634472461,1000,ipfs://bafkreifegzypxk2c2pl6fdjqby4lmzy7obf3ar3emwgkclkenkl3zfj5wi
4,s7_erc721_v2,8765733baa87e5f0a50f4ad4975d0823ac8e5a56c4d4e0b0f1a355b0c4d4f386,213552116902395913,0,ipfs://bafkreidefo3nhf4l7ibiqmgvfh4bd2ewbs436nscfrwmpunnjsbogaapke
4,s7_erc721_v2,975638107131a9ce77983ef6189ed2862f0d4d9aca1ad2480f7233619e48a7c5,378134745403359241,800,ipfs://bafkreibq5kklxoclgrmlgpq3tqhf7ou57lsh4u2xgubr6a2ftti3bgovra
4,s7_erc721_v2,a940895cb6fde8373df01d575a6b4da99eaf814bf65be5957458b68443e040d9,350439901986029577,0,ipfs://bafkreif2j3ws6z7bip32rclpc5l3gq3knbznd5qcqnxtdgm6rvg5wo4ija
4,s7_erc721_v2,be79c3c5fc4d230345870a97bded352211a956131ed7542a70a45f0db9fb464b,92792516553736205,0,ipfs://bafkreiarguxsks52fsyl6gtxa2vtovmmpygtkextfxldlx7ik3o52oeyga
4,s7_erc721_v2,cd441ebde32098b822d357bbb0a9d08185913664b8c3d037a14dc41ccab7652b,21428406474244109,4500,ipfs://bafkreifuosbntdsaz7lf5c7a23escdncwe72w6pge3ji3a6vdnkktpsfbi
4,s7_erc721_v2,cdd4b310e9bbc9a94e67c864d52fe9263061c920046a94bc77f2402533771818,60690022256345101,800,ipfs://bafkreialqlkjfeurfod2g7ovxpo26kxafoy2mepgsz4ia4z7evlsatef3u
4,s7_erc721_v2,f0f7c4c6073c758412e301a29c48194741adaaa6fd15ffeb15b9c3b4e2f4636b,269889164671975435,1000,ipfs://bafkreifnyzmzlrgvfj5rexfs6bn2d7dizfvyc7qlgly454noub56vl3xaq
4,s7_erc721_v2,f9c34b8b26c8e197c4457cabecc8dcc2b532ac782f0c335aeaf49e7015e180e5,24419731742130189,2000,ipfs://bafkreieq4qwco3ifumt6mjfefn5xiawt5btr42wyfcm2s27bonnx7sovse
4,s7_erc721_v2,ff8bd3b587ebfc91643a53bfc6f44ce75978867468f54787ee152a50c62d117a,46252238854684683,500,ipfs://bafkreigp64vooypav3vomtot2maegkqbu6t3ed7zzq4gwjzqlu6j4becuy
5,s7_erc721_v2,040b4d982d0feb7f12934845d2334a5d29d0abfd23750d789988cd653b6f0c6d,22353013293187085,0,ipfs://bafkreigjtwnjuhcrfsm33bzfdgkopzfpyorvfh2cqwhxidsxow7suxutca
5,s7_erc721_v2,0f114ecdbb40f85b471ee81533b621b553e54d5c21a10a9452b932b7d2af95f2,304860402397741069,2000,ipfs://bafkreiajg7qxtsurm2ll2wibv2nkfra4iqlej5xd4bzeeqo67i5gqmtqga
5,s7_erc721_v2,103f3f925ca39b255c417b624181025852332ee793f3a2aa8b0c492b483af6dd,173378795695243273,2000,ipfs://bafkreifdscqcwovaxpctrh222mq6ogmgxtonpyjkiufwbwc4wcgmd7tqvy
5,s7_erc721_v2,1913f925eb29deb9eb7fb5810b328ff50c2ba1540772aa887abe2952609f9d1c,23876230910574605,300,ipfs://bafkreihoxs6hi2aiifxhylptj7qbzug2uke3a6jsz5bm2x3wa7mnru7xjy
5,s7_erc721_v2,1a9f636c9c994c1d63c011dc338168744bf1cab834f9dc5eb79b219ba18d865f,24419469547798541,2000,ipfs://bafkreie6aqiwo7mk43todc663mmqqjsfl23sudssf4mkclcgbdxc5p4txe
5,s7_erc721_v2,2034205a6c167c49086de2c2ed184481b70b2d73752d7d1e1ea143c36ea289fb,332494148361781257,500,ipfs://bafkreigq3y3brshyalxtxfp2nqzcg6mb6tcdzitiqyyxvodedj2ewkfsha
